Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Walmart,1128299,17-06-2021 00:00,Southeast,Florida,Orlando,Women's Apparel,$103.00,218,"$22,454.00","$1,257.00",Online
West Gear,1128299,16-07-2021 00:00,South,Louisiana,New Orleans,Women's Apparel,$103.00,163,"$16,789.00",$806.00,Online
Sports Direct,1197831,25-08-2021 00:00,South,Alabama,Birmingham,Men's Street Footwear,$10.00,700,"$7,000.00","$3,150.00",Outlet
Sports Direct,1197831,27-08-2021 00:00,South,Alabama,Birmingham,Women's Street Footwear,$15.00,575,"$8,625.00","$3,881.00",Outlet
Sports Direct,1197831,21-08-2021 00:00,South,Alabama,Birmingham,Women's Street Footwear,$15.00,475,"$7,125.00","$3,206.00",Outlet
West Gear,1185732,11-01-2021 00:00,Midwest,Missouri,St. Louis,Women's Street Footwear,$15.00,475,"$7,125.00","$2,494.00",In-store
Sports Direct,1185732,17-11-2021 00:00,South,Mississippi,Jackson,Men's Athletic Footwear,$20.00,450,"$9,000.00","$3,150.00",Online
Sports Direct,1197831,23-01-2021 00:00,South,Mississippi,Jackson,Women's Street Footwear,$15.00,450,"$6,750.00","$2,700.00",Online
West Gear,1185732,03-04-2021 00:00,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,$20.00,450,"$9,000.00","$2,700.00",In-store
Foot Locker,1185732,10-03-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$44.00,434,"$19,096.00",$993.00,Outlet
Foot Locker,1185732,18-01-2021 00:00,Midwest,Michigan,Detroit,Women's Street Footwear,$20.00,425,"$8,500.00","$2,975.00",In-store
West Gear,1185732,11-02-2021 00:00,Midwest,Missouri,St. Louis,Women's Street Footwear,$15.00,425,"$6,375.00","$2,231.00",In-store
West Gear,1185732,11-06-2021 00:00,West,Utah,Salt Lake City,Women's Street Footwear,$20.00,425,"$8,500.00","$2,975.00",In-store
Amazon,1185732,10-04-2021 00:00,Midwest,Ohio,Columbus,Women's Street Footwear,$20.00,425,"$8,500.00","$3,400.00",Online
Foot Locker,1185732,16-03-2021 00:00,South,Mississippi,Jackson,Women's Street Footwear,$15.00,425,"$6,375.00","$2,550.00",Online
Walmart,1185732,16-09-2021 00:00,South,Mississippi,Jackson,Women's Street Footwear,$20.00,425,"$8,500.00","$3,400.00",Online
Walmart,1197831,21-02-2021 00:00,South,Arkansas,Little Rock,Women's Apparel,$20.00,425,"$8,500.00","$3,400.00",Online
Walmart,1197831,21-10-2021 00:00,South,Arkansas,Little Rock,Men's Athletic Footwear,$20.00,425,"$8,500.00","$2,975.00",Online
Walmart,1185732,03-05-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$48.00,420,"$20,160.00","$1,129.00",Outlet
Walmart,1185732,19-04-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$39.00,408,"$15,912.00",$875.00,Outlet
Walmart,1185732,27-04-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$46.00,403,"$18,538.00","$1,038.00",Outlet
West Gear,1185732,10-03-2021 00:00,West,Utah,Salt Lake City,Women's Street Footwear,$20.00,400,"$8,000.00","$2,800.00",In-store
West Gear,1185732,11-06-2021 00:00,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00,400,"$8,000.00","$3,200.00",In-store
West Gear,1185732,11-10-2021 00:00,West,Utah,Salt Lake City,Men's Athletic Footwear,$20.00,400,"$8,000.00","$2,800.00",In-store
West Gear,1185732,11-11-2021 00:00,West,Utah,Salt Lake City,Men's Athletic Footwear,$20.00,400,"$8,000.00","$2,800.00",In-store
Walmart,1185732,16-09-2021 00:00,South,Mississippi,Jackson,Women's Athletic Footwear,$20.00,400,"$8,000.00","$3,200.00",Online
Sports Direct,1197831,21-02-2021 00:00,South,Mississippi,Jackson,Women's Street Footwear,$15.00,400,"$6,000.00","$2,400.00",Online
Foot Locker,1185732,04-03-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$47.00,400,"$18,800.00",$978.00,Outlet
Foot Locker,1185732,25-01-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$40.00,390,"$15,600.00",$811.00,Outlet
Foot Locker,1185732,07-01-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$33.00,388,"$12,804.00",$666.00,Outlet
Foot Locker,1185732,01-01-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$34.00,384,"$13,056.00",$679.00,Outlet
Foot Locker,1185732,07-02-2021 00:00,Southeast,Georgia,Atlanta,Men's Street Footwear,$31.00,376,"$11,656.00",$559.00,Outlet
Sports Direct,1197831,22-08-2021 00:00,South,Alabama,Birmingham,Women's Athletic Footwear,$20.00,375,"$7,500.00","$4,125.00",Outlet
Foot Locker,1185732,18-02-2021 00:00,Midwest,Michigan,Detroit,Women's Street Footwear,$20.00,375,"$7,500.00","$2,625.00",In-store
West Gear,1185732,11-08-2021 00:00,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00,375,"$7,500.00","$3,000.00",In-store
West Gear,1185732,11-11-2021 00:00,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00,375,"$7,500.00","$3,000.00",In-store
Foot Locker,1185732,17-04-2021 00:00,South,Mississippi,Jackson,Women's Street Footwear,$15.00,375,"$5,625.00","$2,250.00",Online
West Gear,1197831,20-11-2021 00:00,South,Arkansas,Little Rock,Men's Athletic Footwear,$15.00,375,"$5,625.00","$1,969.00",Online
West Gear,1197831,23-01-2021 00:00,South,Arkansas,Little Rock,Women's Street Footwear,$15.00,375,"$5,625.00","$2,250.00",Online
Foot Locker,1185732,16-03-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$41.00,375,"$15,375.00",$800.00,Outlet
Walmart,1197831,26-08-2020 00:00,South,Texas,Houston,Women's Street Footwear,$29.00,374,"$10,846.00",$445.00,Outlet
Walmart,1197831,01-09-2020 00:00,South,Texas,Houston,Women's Street Footwear,$29.00,374,"$10,846.00",$445.00,Outlet
Foot Locker,1185732,31-01-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$33.00,372,"$12,276.00",$663.00,Outlet
Foot Locker,1185732,06-02-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$44.00,366,"$16,104.00",$837.00,Outlet
Walmart,1185732,19-04-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$56.00,360,"$20,160.00","$1,250.00",Online
Foot Locker,1185732,17-03-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,$37.00,359,"$13,283.00",$452.00,Outlet
Walmart,1185732,18-04-2020 00:00,Northeast,New York,New York,Women's Apparel,$48.00,355,"$17,040.00",$511.00,Outlet
Foot Locker,1185732,25-01-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$46.00,354,"$16,284.00","$1,026.00",Online
